node_id,label,domain,color,weight_importance,Z_ETHICS,Z_MMLU,Z_GPQA_PhD,Z_RedTeaming
71,Diy + dbl,RedTeaming,#34495e,6.154810905456543,0.0,2.729997185039683,0.0,3.0935607598901136
72,agra + erval,MMLU,#3498db,6.150151252746582,0.0,0.8874131416387068,0.0,0.05565995362969427
73,вен + rens,RedTeaming,#34495e,6.141538619995117,0.0,0.5408592384517936,0.0,2.2628279695175544
74,earer + 仅代表,MMLU,#3498db,6.1273393630981445,0.0,0.36217000347532824,0.0,0.07189438648724647
75,erset + eres,RedTeaming,#34495e,6.12339448928833,0.0,0.9127545734897096,0.0,0.9193909148828211
76,endl + fus,RedTeaming,#34495e,6.109105587005615,0.0,1.1004173948009766,0.0,1.3042381438122095
77,Wash + ully,RedTeaming,#34495e,6.1078972816467285,0.0,3.347540623563322,0.0,5.133034165098388
78,OrDefault + vine,MMLU,#3498db,6.086081504821777,0.0,0.7308637514845807,0.0,0.5562768939208481
79,inh + Tan,MMLU,#3498db,6.083070278167725,0.0,0.2794115418527467,0.0,-0.039037867718030465
80,Biz + avin,MMLU,#3498db,6.0757904052734375,0.0,3.073334957317945,0.0,1.5542004409789474
81,verst + ndx,RedTeaming,#34495e,6.069583892822266,0.0,0.7194134546085569,0.0,1.740984112298797
82,illary + urb,MMLU,#3498db,6.06462287902832,0.0,0.6822762904846369,0.0,0.20517694930201275
83,PEAT + Finger,RedTeaming,#34495e,6.056201934814453,0.0,0.2797083634547706,0.0,0.5454618918169949
